plmn,country,operator
20201,Greece,COSMOTE - Mobile Telecommunications S.A.
20214,Greece,CYTA
20205,Greece,Vodafone Greece
20210,Greece,Wind Hellas Telecommunications S.A.
20215,Greece,BWS
20460,Netherlands,Nextgen Mobile Ltd
20467,Netherlands,Koning en Hartman B.V.
20410,Netherlands,KPN B.V.
20412,Netherlands,KPN Mobile The Netherlands B.V.
20407,Netherlands,Teleena (MVNE)
20469,Netherlands,KPN Mobile The Netherlands B.V.
20428,Netherlands,Lancelot B.V.
20403,Netherlands,Voiceworks B.V.
20411,Netherlands,VoipIT B.V.
20462,Netherlands,Voxbone mobile
20409,Netherlands,Lycamobile Netherlands Limited
20423,Netherlands,Wyless Nederland B.V.
20426,Netherlands,SpeakUp B.V.
20464,Netherlands,Zetacom B.V.
20415,Netherlands,Ziggo B.V.
20422,Netherlands,Ministerie van Defensie
20419,Netherlands,Mixe Communication Solutions B.V.
20417,Netherlands,Intercity Mobile Communications B.V.
20429,Netherlands,Private Mobile Ltd
20424,Netherlands,Private Mobility Nederland B.V.
20421,Netherlands,ProRail B.V.
20461,Netherlands,BodyTrace Netherlands B.V.
20413,Netherlands,Unica Installatietechniek B.V.
20427,Netherlands,Breezz Nederland B.V.
20414,Netherlands,6GMOBILE B.V.
20405,Netherlands,Elephant Talk Communications Premium Rate Services
20418,Netherlands,UPC Nederland B.V.
20406,Netherlands,Mundio Mobile (Netherlands) Ltd
20466,Netherlands,Utility Connect B.V.
20401,Netherlands,RadioAccess Network Services
20425,Netherlands,CapX B.V.
20420,Netherlands,T-Mobile Netherlands B.V
20404,Netherlands,Vodafone Libertel B.V.
20468,Netherlands,Roamware (Netherlands) B.V.
20416,Netherlands,T-Mobile Netherlands B.V
20408,Netherlands,KPN Mobile The Netherlands B.V.
20402,Netherlands,Tele2 Nederland B.V.
20465,Netherlands,AGMS Netherlands B.V.
20616,Belgium,NextGen Mobile Ltd.
20620,Belgium,Telenet
20610,Belgium,Orange S.A.
20601,Belgium,Belgacom Mobile
20605,Belgium,Telenet
20609,Belgium,Voxbone mobile
20606,Belgium,Lycamobile sprl
20600,Belgium,Belgacom Mobile
20625,Belgium,Dense Air Belgium SPRL
20602,Belgium,Infrabel
20628,Belgium,BICS
20650,Belgium,IP Nexia
20630,Belgium,Unleashed NV
20615,Belgium,Elephant Talk Communications Schweiz GmbH
